epoch,accuracy,loss,val_accuracy,val_loss
0,0.7674999833106995,0.5941860675811768,0.8837500214576721,0.2814699411392212
1,0.8585000038146973,0.3466172516345978,0.9024999737739563,0.26317402720451355
2,0.8799999952316284,0.2907755672931671,0.9100000262260437,0.247663676738739
3,0.9010000228881836,0.2527737021446228,0.9024999737739563,0.2891121208667755
4,0.9110000133514404,0.2231132537126541,0.8487499952316284,0.49900364875793457
5,0.9244999885559082,0.2104542851448059,0.9012500047683716,0.27318835258483887
6,0.9229999780654907,0.19168904423713684,0.8887500166893005,0.3054521083831787
7,0.9380000233650208,0.164046511054039,0.8387500047683716,0.5400288105010986
8,0.9449999928474426,0.14866653084754944,0.8974999785423279,0.36313992738723755
9,0.9495000243186951,0.1356198936700821,0.8362500071525574,0.7201746106147766
